 id  |   genome   |      v1 - v2      | fragment1 - fragment2 |    repeat1 - repeat2    |  cc_id  | s_edge | repeat_guidance | MC 
195  |    dog     |  15908t - 18600t  |     -2_98 - -2_97     |   L1_Cf(t) - L1_Cf(h)   |  8675   |  True  | L1_Cftou, L1_Cfhoi | dog 
196  |    dog     |  20235t - 3687t   |     X_113 - X_125     |   L1_Cf(h) - L1_Cf(t)   |  8686   |  True  | L1_Cfhou, L1_Cftoi | dog 
197  |    dog     |   6164t - 20283h  |     25_43 - 25_44     | L1_Canis1(t) - L1_Canis1(h) |  8750   |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
198  |    dog     |  25203h - 20960h  |    -12_25 - -12_23    |   L1_Cf(h) - L1_Cf(t)   |  8771   |  True  | L1_Cfhou, L1_Cftoi | dog 
199  |    dog     |   7260t - 1077h   |     30_35 - 30_36     | L1_Canis1(t) - L1_Canis1(h) |  8819   |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
200  |    dog     |  12782h - 21940t  |     -30_8 - -30_7     | L1_Canis1(t) - L1_Canis1(h) |  8842   |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
201  |    dog     |   8632h - 7547h   |     24_21 - 24_22     | L1_Canis1(h) - L1_Canis1(t) |  8881   |  True  | L1_Canis1hou, L1_Canis1toi | dog 
202  |    dog     |   6233h - 833h    |     -3_37 - -3_26     |   L1_Cf(h) - L1_Cf(t)   |  8923   |  True  | L1_Cfhou, L1_Cftoi | dog 
203  |    dog     |  20711t - 1995h   |     27_74 - 27_79     | L1_Canis1(h) - L1_Canis1(h) |  9042   |  True  | L1_Canis1hou, L1_Canis1toi, L1_Canis1tou, L1_Canis1hoi | dog 
204  |    dog     |  20768t - 19111h  |      5_60 - 5_61      |   L1_Cf(t) - L1_Cf(h)   |  9106   |  True  | L1_Cftou, L1_Cfhoi | dog 
205  |    dog     |  11991t - 18753h  |      3_18 - 3_19      | L1_Canis1(t) - L1_Canis1(h) |  9114   |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
