 id  |   genome   |      v1 - v2      | fragment1 - fragment2 |    repeat1 - repeat2    |  cc_id  | s_edge | repeat_guidance | MC 
307  | chimpanzee |  26562h - 10772h  |     3_699 - 3_702     |   L1PA2(h) - L1PA2(t)   |  6712   |  True  | L1PA2hou, L1PA2toi | chimpanzee 
308  | chimpanzee |  35832h - 15449h  |     4_645 - 4_648     |   L1PA5(h) - L1PA4(t)   |  6735   |  True  | L1PA5hou, L1PA5toi, L1PA4hou, L1PA4toi | chimpanzee 
309  | chimpanzee |  11301t - 25889h  |     1_363 - -1_316    |    L1P1(h) - L1PA5(t)   |  6823   |  True  | L1P1hou, L1P1toi, L1PA5hou, L1PA5toi | chimpanzee 
310  | chimpanzee |  17605t - 36170h  |    -18_49 - -18_48    |   L1PA4(h) - L1PA4(t)   |  6870   |  True  | L1PA4hou, L1PA4toi | chimpanzee 
311  | chimpanzee |  11523h - 26547t  |    -9_380 - -9_420    |    L1P1(t) - L1PA3(h)   |  6879   | False  | L1P1tou, L1P1hoi, L1PA3tou, L1PA3hoi | chimpanzee 
312  | chimpanzee |  23959h - 22406h  |   -13_299 - -13_286   |    L1Pt(h) - L1Pt(h)    |  6959   |  True  | L1Pthou, L1Pttoi, L1Pttou, L1Pthoi | chimpanzee 
313  | chimpanzee |  13159h - 14884t  |    -X_162 - X_308     |   L1PA4(h) - L1Pt(t)    |  6969   | False  | L1PA4hou, L1PA4toi, L1Pthou, L1Pttoi | chimpanzee 
314  | chimpanzee |  39442t - 16866t  |     20_83 - 20_85     |    L1P1(t) - L1PA2(h)   |  6994   |  True  | L1P1tou, L1P1hoi, L1PA2tou, L1PA2hoi | chimpanzee 
315  | chimpanzee |  37518t - 14813t  |     17_20 - 17_21     |   L1PA3(t) - L1PA3(h)   |  7011   |  True  | L1PA3tou, L1PA3hoi | chimpanzee 
316  | chimpanzee |   5381t - 42810t  |    -13_21 - -4_161    |   L1PA3(h) - L1PA4(t)   |  7037   | False  | L1PA3hou, L1PA3toi, L1PA4hou, L1PA4toi | chimpanzee 
317  | chimpanzee |   9720t - 12204h  |     -6_81 - -6_80     |   L1PA3(t) - L1PA3(h)   |  7075   |  True  | L1PA3tou, L1PA3hoi | chimpanzee 
318  | chimpanzee |  13118h - 3480h   |     15_72 - 15_90     |    L1Pt(h) - L1PA2(h)   |  7092   |  True  | L1Pthou, L1Pttoi, L1PA2tou, L1PA2hoi | chimpanzee 
319  | chimpanzee |   7933h - 11066h  |    2B_500 - 2B_522    |   L1PA4(t) - L1PA4(h)   |  7158   |  True  | L1PA4tou, L1PA4hoi | chimpanzee 
320  | chimpanzee |  10850t - 11407t  |    -11_46 - -11_41    |   L1PA3(h) - L1PA3(h)   |  7163   |  True  | L1PA3hou, L1PA3toi, L1PA3tou, L1PA3hoi | chimpanzee 
321  | chimpanzee |   9421h - 15292t  |   -14_254 - -14_253   |   L1PA2(h) - L1PA2(t)   |  7217   |  True  | L1PA2hou, L1PA2toi | chimpanzee 
322  | chimpanzee |   7277t - 6961h   |     8_301 - 8_302     |   L1PA2(t) - L1PA2(h)   |  7258   |  True  | L1PA2tou, L1PA2hoi | chimpanzee 
323  | chimpanzee |   8467h - 12064h  |   -11_277 - -11_274   |   L1PA4(t) - L1PA2(h)   |  7267   |  True  | L1PA4tou, L1PA4hoi, L1PA2tou, L1PA2hoi | chimpanzee 
324  | chimpanzee |   9890h - 15925h  |   -10_430 - -10_425   |   L1PA5(t) - L1PA4(h)   |  7299   |  True  | L1PA5tou, L1PA5hoi, L1PA4tou, L1PA4hoi | chimpanzee 
325  | chimpanzee |  15449t - 4043t   |     4_648 - 4_650     |   L1PA4(t) - L1PA3(h)   |  7305   |  True  | L1PA4tou, L1PA4hoi, L1PA3tou, L1PA3hoi | chimpanzee 
326  | chimpanzee |   9994h - 4663h   |     8_389 - 8_405     |   L1PA4(t) - L1PA2(h)   |  7324   |  True  | L1PA4tou, L1PA4hoi, L1PA2tou, L1PA2hoi | chimpanzee 
327  | chimpanzee |  30787h - 10659t  |    -3_270 - -3_264    |   L1PA5(h) - L1PA4(h)   |  7377   |  True  | L1PA5hou, L1PA5toi, L1PA4tou, L1PA4hoi | chimpanzee 
328  | chimpanzee |  23973t - 19142h  |     6_622 - 6_629     |   L1PA3(t) - L1PA3(t)   |  7417   |  True  | L1PA3tou, L1PA3hoi, L1PA3hou, L1PA3toi | chimpanzee 
329  | chimpanzee |   4127h - 6461t   |     5_487 - 5_505     |   L1PA2(h) - L1PA2(h)   |  7434   |  True  | L1PA2hou, L1PA2toi, L1PA2tou, L1PA2hoi | chimpanzee 
330  | chimpanzee |  26683h - 11103h  |     9_370 - 9_371     |   L1PA3(h) - L1PA3(t)   |  7444   |  True  | L1PA3hou, L1PA3toi | chimpanzee 
331  | chimpanzee |  19171t - 14762t  |    -10_52 - -10_51    |   L1PA4(h) - L1PA4(t)   |  7489   |  True  | L1PA4hou, L1PA4toi | chimpanzee 
332  | chimpanzee |   9669t - 6620h   |     9_299 - 9_303     |   L1PA3(t) - L1PA3(h)   |  7539   |  True  | L1PA3tou, L1PA3hoi | chimpanzee 
333  | chimpanzee |  46714t - 2070h   |     -6_79 - -6_77     |    L1Pt(t) - L1Pt(h)    |  7576   |  True  | L1Pttou, L1Pthoi | chimpanzee 
334  | chimpanzee |   4970t - 10277h  |     6_129 - 6_144     |   L1PA3(h) - L1P1(t)    |  7597   |  True  | L1PA3hou, L1PA3toi, L1P1hou, L1P1toi | chimpanzee 
335  | chimpanzee |  10601t - 14330h  |      1_34 - 1_37      |   L1PA4(h) - L1PA3(h)   |  7612   |  True  | L1PA4hou, L1PA4toi, L1PA3tou, L1PA3hoi | chimpanzee 
336  | chimpanzee |  22494h - 11971h  |      4_12 - 4_14      |   L1PA3(h) - L1PA3(t)   |  7631   |  True  | L1PA3hou, L1PA3toi | chimpanzee 
337  | chimpanzee |  10224h - 23306h  |    -17_83 - -17_80    |   L1PA4(h) - L1PA4(h)   |  7655   |  True  | L1PA4hou, L1PA4toi, L1PA4tou, L1PA4hoi | chimpanzee 
338  | chimpanzee |  32635t - 30059h  |     12_69 - 12_103    |   L1PA4(h) - L1PA3(h)   |  7683   |  True  | L1PA4hou, L1PA4toi, L1PA3tou, L1PA3hoi | chimpanzee 
339  | chimpanzee |   3242t - 10617h  |    -20_75 - -20_70    |   L1PA4(h) - L1Pt(h)    |  7731   |  True  | L1PA4hou, L1PA4toi, L1Pttou, L1Pthoi | chimpanzee 
340  | chimpanzee |  11615t - 34494h  |    -8_532 - -8_527    |   L1PA4(h) - L1PA4(t)   |  7754   |  True  | L1PA4hou, L1PA4toi | chimpanzee 
341  | chimpanzee |   5837h - 22798h  |    2B_411 - 2B_412    |    L1Pt(t) - L1Pt(h)    |  7846   |  True  | L1Pttou, L1Pthoi | chimpanzee 
342  | chimpanzee |   8000t - 13177h  |    2A_218 - 2A_228    |    L1Pt(h) - L1PA3(h)   |  7937   |  True  | L1Pthou, L1Pttoi, L1PA3tou, L1PA3hoi | chimpanzee 
343  | chimpanzee |  29134h - 9140t   |     7_117 - 7_120     |   L1PA3(h) - L1PA4(t)   |  7961   |  True  | L1PA3hou, L1PA3toi, L1PA4hou, L1PA4toi | chimpanzee 
344  | chimpanzee |  20559t - 30312h  |    -9_109 - -9_106    |   L1PA2(t) - L1PA3(h)   |  7993   |  True  | L1PA2tou, L1PA2hoi, L1PA3tou, L1PA3hoi | chimpanzee 
345  | chimpanzee |   5346h - 16033t  |   -12_132 - -12_126   |   L1PA3(t) - L1PA3(h)   |  7999   |  True  | L1PA3tou, L1PA3hoi | chimpanzee 
346  | chimpanzee |  22181h - 7648t   |    11_320 - -2B_410   |   L1PA3(h) - L1P1(t)    |  8089   | False  | L1PA3hou, L1PA3toi, L1P1hou, L1P1toi | chimpanzee 
347  | chimpanzee |  16565t - 12633h  |     9_257 - 9_258     |    L1P1(h) - L1P1(t)    |  8102   |  True  | L1P1hou, L1P1toi | chimpanzee 
348  | chimpanzee |    519t - 5757h   |   -14_216 - -14_215   |   L1PA3(t) - L1PA3(h)   |  8177   |  True  | L1PA3tou, L1PA3hoi | chimpanzee 
349  | chimpanzee |  29872h - 3940h   |   -11_314 - -11_301   |   L1PA3(t) - L1PA2(h)   |  8212   |  True  | L1PA3tou, L1PA3hoi, L1PA2tou, L1PA2hoi | chimpanzee 
350  | chimpanzee |   3242h - 16499h  |     20_75 - 20_79     |   L1PA3(h) - L1PA2(h)   |  8248   |  True  | L1PA3hou, L1PA3toi, L1PA2tou, L1PA2hoi | chimpanzee 
351  | chimpanzee |  25926t - 8638h   |    -1_516 - -1_513    |    L1P1(t) - L1PA4(h)   |  8270   |  True  | L1P1tou, L1P1hoi, L1PA4tou, L1PA4hoi | chimpanzee 
