 id  |   genome   |      v1 - v2      | fragment1 - fragment2 |    repeat1 - repeat2    |  cc_id  | s_edge | repeat_guidance | MC 
240  |    dog     |   9871t - 30590h  |     -2_86 - -2_85     | L1_Canis1(h) - L1_Canis1(t) |  10635  |  True  | L1_Canis1hou, L1_Canis1toi | dog 
241  |    dog     |  12658t - 28221t  |    -7_109 - -7_108    |   L1_Cf(h) - L1_Cf(t)   |  10841  |  True  | L1_Cfhou, L1_Cftoi | dog 
242  |    dog     |   8394h - 17642t  |     15_44 - 15_48     |   L1_Cf(t) - L1_Cf(t)   |  10948  | False  | L1_Cftou, L1_Cfhoi, L1_Cfhou, L1_Cftoi | dog 
243  |    dog     |  17288t - 23329h  |    -15_15 - -15_14    | L1_Canis1(t) - L1_Canis1(h) |  10986  |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
244  |    dog     |   8302t - 2584t   |      2_44 - 2_45      |   L1_Cf(t) - L1_Cf(h)   |  11012  |  True  | L1_Cftou, L1_Cfhoi | dog 
245  |    dog     |  35443t - 18424t  |       7_0 - 7_1       |   L1_Cf(t) - L1_Cf(h)   |  11025  |  True  | L1_Cftou, L1_Cfhoi | dog 
246  |    dog     |  16537t - 25188t  |    -16_41 - -16_37    |   L1_Cf(h) - L1_Canis1(h) |  11099  |  True  | L1_Cfhou, L1_Cftoi, L1_Canis1tou, L1_Canis1hoi | dog 
247  |    dog     |  35832h - 15449h  |    -19_27 - -19_25    | L1_Canis1(t) - L1_Cf(t)   |  11114  |  True  | L1_Canis1tou, L1_Canis1hoi, L1_Cfhou, L1_Cftoi | dog 
248  |    dog     |  22899h - 41376t  |    -26_57 - -26_56    |   L1_Cf(h) - L1_Cf(t)   |  11206  |  True  | L1_Cfhou, L1_Cftoi | dog 
249  |    dog     |  21106h - 29645t  |      3_41 - -2_93     | L1_Canis1(t) - L1_Cf(h)   |  11716  |  True  | L1_Canis1tou, L1_Canis1hoi, L1_Cftou, L1_Cfhoi | dog 
250  |    dog     |  19707t - 27317t  |     17_25 - 17_26     | L1_Carn5(h) - L1_Carn5(t) |  11965  |  True  | L1_Carn5hou, L1_Carn5toi | dog 
251  |    dog     |  22197h - 24859t  |     22_38 - 22_43     |   L1_Cf(t) - L1_Cf(h)   |  11966  |  True  | L1_Cftou, L1_Cfhoi | dog 
252  |    dog     |  10659t - 30787h  |    -20_37 - -20_33    |   L1_Cf(h) - L1_Canis1(t) |  12006  |  True  | L1_Cfhou, L1_Cftoi, L1_Canis1hou, L1_Canis1toi | dog 
253  |    dog     |  35609h - 14543h  |     20_39 - 20_40     |   L1_Cf(h) - L1_Cf(t)   |  12123  |  True  | L1_Cfhou, L1_Cftoi | dog 
254  |    dog     |  14625h - 15569h  |     32_11 - -13_48    | L1_Canis1(t) - L1_Cf(h)   |  12173  | False  | L1_Canis1tou, L1_Canis1hoi, L1_Cftou, L1_Cfhoi | dog 
255  |    dog     |  20893t - 9602h   |      8_34 - 8_35      | L1_Canis1(h) - L1_Canis1(t) |  12225  |  True  | L1_Canis1hou, L1_Canis1toi | dog 
256  |    dog     |   3976h - 15492t  |    -34_29 - -34_28    | L1_Canis1(h) - L1_Canis1(t) |  12249  |  True  | L1_Canis1hou, L1_Canis1toi | dog 
257  |    dog     |   8406h - 1756t   |     23_54 - 23_56     |   L1_Cf(t) - L1_Canis1(t) |  12275  |  True  | L1_Cftou, L1_Cfhoi, L1_Canis1hou, L1_Canis1toi | dog 
258  |    dog     |  12284h - 11725h  |    -12_76 - -12_75    |   L1_Cf(h) - L1_Cf(t)   |  12355  |  True  | L1_Cfhou, L1_Cftoi | dog 
259  |    dog     |  19429h - 25433h  |     18_22 - 18_23     | L1_Canis1(t) - L1_Canis1(h) |  12599  |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
260  |    dog     |   1738h - 1705t   |    -10_68 - -10_67    |   L1_Cf(h) - L1_Cf(t)   |  12620  |  True  | L1_Cfhou, L1_Cftoi | dog 
